Ottoonama | @JJsaladd Game perang2an kapal, pesawat tempur, submarine gitu kak, coba deh lucu2 | 0 | 0 | 0;
Jencni | @jonginir @krysea pesawat tempur lu nyolong dmn? | 0 | 0 | 0;
jonginir | @Jencni @krysea Kemarin dia ngidam pesawat tempur, kirain abis merenung nyepi lsng otw rusia | 0 | 0 | 0;
Ayah_Nahl | RT @Mentimoen: Kemampuan pasukan Amerika sudah sering dievaluasi dunia karena banyak terlibat dalam pertempuran, misalnya di Afghanistan. H… | 0 | 16 | 0;
Oggie066131 | RT @Mentimoen: Kemampuan pasukan Amerika sudah sering dievaluasi dunia karena banyak terlibat dalam pertempuran, misalnya di Afghanistan. H… | 0 | 16 | 0;
Atha879 | RT @Mentimoen: Kemampuan pasukan Amerika sudah sering dievaluasi dunia karena banyak terlibat dalam pertempuran, misalnya di Afghanistan. H… | 0 | 16 | 0;
Mysoul03559460 | RT @Mentimoen: Kemampuan pasukan Amerika sudah sering dievaluasi dunia karena banyak terlibat dalam pertempuran, misalnya di Afghanistan. H… | 0 | 16 | 0;
fikri_azharul | RT @Mentimoen: Kemampuan pasukan Amerika sudah sering dievaluasi dunia karena banyak terlibat dalam pertempuran, misalnya di Afghanistan. H… | 0 | 16 | 0;
NogoSosroAsli | RT @Mentimoen: Kemampuan pasukan Amerika sudah sering dievaluasi dunia karena banyak terlibat dalam pertempuran, misalnya di Afghanistan. H… | 0 | 16 | 0;
teofilussw | RT @Mentimoen: Kemampuan pasukan Amerika sudah sering dievaluasi dunia karena banyak terlibat dalam pertempuran, misalnya di Afghanistan. H… | 0 | 16 | 0;
harisas_ | RT @historia_id: Kisah sekelompok anggota Angkatan Udara Uni Soviet yang ikut terlibat dalam konflik di Irian Barat.https://t.co/681Zur6JXM | 0 | 31 | 0;
setiadjit | @SoftWarNews Apa pembelian pesawat tempur dari Perancis bisa dibatalkan karena ternyata Perancis juga tidak netral?… https://t.co/KLo8zhlAOR | 0 | 0 | 0;
sakalanagara | RT @Mentimoen: Kemampuan pasukan Amerika sudah sering dievaluasi dunia karena banyak terlibat dalam pertempuran, misalnya di Afghanistan. H… | 0 | 16 | 0;
Lucyana555 | RT @Mentimoen: Kemampuan pasukan Amerika sudah sering dievaluasi dunia karena banyak terlibat dalam pertempuran, misalnya di Afghanistan. H… | 0 | 16 | 0;
pearlbastard_ | RT @historia_id: Kisah sekelompok anggota Angkatan Udara Uni Soviet yang ikut terlibat dalam konflik di Irian Barat.https://t.co/681Zur6JXM | 0 | 31 | 0;
Harryivander | RT @historia_id: Kisah sekelompok anggota Angkatan Udara Uni Soviet yang ikut terlibat dalam konflik di Irian Barat.https://t.co/681Zur6JXM | 0 | 31 | 0;
74Daijiro | RT @Mentimoen: Kemampuan pasukan Amerika sudah sering dievaluasi dunia karena banyak terlibat dalam pertempuran, misalnya di Afghanistan. H… | 0 | 16 | 0;
SBrooto | Russia emang ga sayang ama nyawa pilot2 heli dan pesawat tempur serang darat mereka  😓 https://t.co/Tx8N4rYL8y | 0 | 0 | 0;
protogas_d | RT @Mentimoen: Kemampuan pasukan Amerika sudah sering dievaluasi dunia karena banyak terlibat dalam pertempuran, misalnya di Afghanistan. H… | 0 | 16 | 0;
notyours_k | RT @Mentimoen: Kemampuan pasukan Amerika sudah sering dievaluasi dunia karena banyak terlibat dalam pertempuran, misalnya di Afghanistan. H… | 0 | 16 | 0;
daveesjar | RT @historia_id: Kisah sekelompok anggota Angkatan Udara Uni Soviet yang ikut terlibat dalam konflik di Irian Barat.https://t.co/681Zur6JXM | 0 | 31 | 0;
adityawijayalau | RT @Mentimoen: Kemampuan pasukan Amerika sudah sering dievaluasi dunia karena banyak terlibat dalam pertempuran, misalnya di Afghanistan. H… | 0 | 16 | 0;
historia_id | RT @historia_id: Kisah sekelompok anggota Angkatan Udara Uni Soviet yang ikut terlibat dalam konflik di Irian Barat.https://t.co/681Zur6JXM | 0 | 31 | 0;
bagusemara | RT @Mentimoen: Kemampuan pasukan Amerika sudah sering dievaluasi dunia karena banyak terlibat dalam pertempuran, misalnya di Afghanistan. H… | 0 | 16 | 0;
Mentimoen | Kemampuan pasukan Amerika sudah sering dievaluasi dunia karena banyak terlibat dalam pertempuran, misalnya di Afgha… https://t.co/lkzcZNB9ma | 0 | 16 | 106;
PuspaSafna | RT @historia_id: Kisah sekelompok anggota Angkatan Udara Uni Soviet yang ikut terlibat dalam konflik di Irian Barat.https://t.co/681Zur6JXM | 0 | 31 | 0;
GoTotheJek | RT @historia_id: Kisah sekelompok anggota Angkatan Udara Uni Soviet yang ikut terlibat dalam konflik di Irian Barat.https://t.co/681Zur6JXM | 0 | 31 | 0;
SERABUTAN163 | RT @Hilang_Sendiri: di tanah. tank tak  hancur oleh peluru.  kota-kota mati  ditinggalkan keramaian.    dibekas gedung. bom  dijatuhkan dari lang… | 0 | 1 | 0;
tio_richardo | RT @historia_id: Kisah sekelompok anggota Angkatan Udara Uni Soviet yang ikut terlibat dalam konflik di Irian Barat.https://t.co/681Zur6JXM | 0 | 31 | 0;
AEPishere | RT @historia_id: Kisah sekelompok anggota Angkatan Udara Uni Soviet yang ikut terlibat dalam konflik di Irian Barat.https://t.co/681Zur6JXM | 0 | 31 | 0;
yyxtyy_ | RT @Mentimoen: Kapan terakhir serdadu Amerika bisa bertempur dalam kondisi seperti yg terjadi di Kiev? Mungkin waktu Perang Vietnam. Habis… | 0 | 108 | 0;
Bengbenghoki | RT @tvOneNews: 4 Pesawat Tempur Rusia Melanggar Wilayah Udara Swedia https://t.co/tcDCOzrGUd | 0 | 2 | 0;
prabamska | @CNNIndonesia Beritanya yg bener dong... Kenyataanya Rusia masih nyantai nyerangnya, belum mengerahkan pesawat temp… https://t.co/3RYskyWkLr | 0 | 0 | 1;
MHHBJA2005 | https://t.co/cgTy8aKRDA     4 hari buat latihan TUDM dalam jet tempur terbang rendah, ingatkan awal2 sebelum buat ses… https://t.co/jUTcMMIvYB | 0 | 0 | 1;
sileboey | Pesawat tempur by IWAN FALS - https://t.co/GF8VbRwde0 | 0 | 0 | 0;
NH_Poetranto | RT @historia_id: Kisah sekelompok anggota Angkatan Udara Uni Soviet yang ikut terlibat dalam konflik di Irian Barat.https://t.co/681Zur6JXM | 0 | 31 | 0;
yangmi3pr | 4 Pesawat Tempur Rusia Terobos Wilayah Udara Swedia, Langsung Siaga Tinggi     #PesawatTempur via @jpnncom https://t.co/0nWzqvrsSV | 0 | 0 | 0;
aurorabigwinx | Adanya pesawat tempur deh kayanya, kalo kapal ga ada | 0 | 0 | 0;
at_Frederich18 | @CNNIndonesia Pesawat jet tempur &amp; helikopter tempur Rusia menjadi sasaran tembak senjata anti pesawat yang digunak… https://t.co/I6WEkyeuQP | 0 | 0 | 0
SentoSareen | RT @hipohan: Menteri agama Ukraina Yaqutsov meminta Rusia membatasi kebisingan akibat serangan rudal, bom dan deru mesin jet pesawat tempur… | 0 | 21 | 0;
Teuku10677516 | Mamarika akan mengirimkan 3 skuadron pesawat tempur darat A10 Warthog alias babi hutan thunderbolt ke ukraina . K… https://t.co/2Jk6BYQEh7 | 0 | 1 | 2;
Teuku10677516 | Kata intelijen mimin akan ada pengiriman 3 skuadron pesawat tempur darat  misi sekunder ke ukraina ???? 🤔    Clue nya… https://t.co/3mJfqwdX6y | 0 | 0 | 1;
EastIndiesRoyal | Baru kali ini lihat pesawat tempur, milik USA lagi... F16 https://t.co/qsXNJjdQYr | 0 | 0 | 0;
opsiin | Jerman Akan Kirim 2.700 Misil Anti-Pesawat Tempur ke Ukraina – CNN Indonesia – Media Informasi –… https://t.co/OV0Apzc4rT | 0 | 0 | 0;
Magnoolia02 | RT @historia_id: Kisah sekelompok anggota Angkatan Udara Uni Soviet yang ikut terlibat dalam konflik di Irian Barat.https://t.co/681Zur6JXM | 0 | 31 | 0;
Fiksi_ilmiah | RT @historia_id: Kisah sekelompok anggota Angkatan Udara Uni Soviet yang ikut terlibat dalam konflik di Irian Barat.https://t.co/681Zur6JXM | 0 | 31 | 0;
AwanParutang | RT @historia_id: Kisah sekelompok anggota Angkatan Udara Uni Soviet yang ikut terlibat dalam konflik di Irian Barat.https://t.co/681Zur6JXM | 0 | 31 | 0;
Bambang77197468 | @MuryonoHS12 🇮🇩  60an Lanud Husein garasi ratusan pesawat tempur, pembom, angkut, diantara itu ada tipe subsonic yg… https://t.co/iHX1lc18EO | 0 | 0 | 1;
JoncyJonacta | RT @historia_id: Kisah sekelompok anggota Angkatan Udara Uni Soviet yang ikut terlibat dalam konflik di Irian Barat.https://t.co/681Zur6JXM | 0 | 31 | 0;
ilesanc | @apansa_kalengs Saab 900 Turbo, mobil Swedia, satu2nya merek mobil yang sepabrik sama pesawat jet tempur. | 0 | 0 | 0;
komarudin_ans | RT @historia_id: Kisah sekelompok anggota Angkatan Udara Uni Soviet yang ikut terlibat dalam konflik di Irian Barat.https://t.co/681Zur6JXM | 0 | 31 | 0;
Herrreza | RT @historia_id: Kisah sekelompok anggota Angkatan Udara Uni Soviet yang ikut terlibat dalam konflik di Irian Barat.https://t.co/681Zur6JXM | 0 | 31 | 0;
inyiak_kampai | kok pesawat tempur nya berjalan di jalanan kecil.. pesawat tempur itu seharusnya terbang dengan kecepatan diatas 1.… https://t.co/WHgCuBPMGq | 0 | 0 | 1;
Fahri_Palu | RT @historia_id: Kisah sekelompok anggota Angkatan Udara Uni Soviet yang ikut terlibat dalam konflik di Irian Barat.https://t.co/681Zur6JXM | 0 | 31 | 0;
ronievillie | RT @historia_id: Kisah sekelompok anggota Angkatan Udara Uni Soviet yang ikut terlibat dalam konflik di Irian Barat.https://t.co/681Zur6JXM | 0 | 31 | 0;
AgueroXkapok11 | RT @Marchfoward: TERKINI    Kementerian Pertahanan Rusia memaklumkan sebanyak 1,612 sasaran dimusnahkan Tentera Rusia sepanjang seminggu mene… | 0 | 25 | 0;
"Kurniaw53369919 | @Mentimoen Bang info terbaru pesawat tempur Russia ""hilang"" Dilangit ukraina  Bagian dari strategi atau keterbatasan… https://t.co/JIO6gfJVIf | 0 | 0 | 0";
_farhanhafiz | RT @Marchfoward: TERKINI    Kementerian Pertahanan Rusia memaklumkan sebanyak 1,612 sasaran dimusnahkan Tentera Rusia sepanjang seminggu mene… | 0 | 25 | 0;
abeekabudiman | RT @historia_id: Kisah sekelompok anggota Angkatan Udara Uni Soviet yang ikut terlibat dalam konflik di Irian Barat.https://t.co/681Zur6JXM | 0 | 31 | 0;
Sabdono11 | RT @mmuftirs96: Update sitrep dari Kemenhan Rusia:    1. Rusia telah menguasai seluruh wilayah udara Ukraina    2. Sejak awal opmil, 1.114 infr… | 0 | 24 | 0;
BherlambangA | RT @Mentimoen: Kapan terakhir serdadu Amerika bisa bertempur dalam kondisi seperti yg terjadi di Kiev? Mungkin waktu Perang Vietnam. Habis… | 0 | 108 | 0;
yogiangestup | RT @historia_id: Kisah sekelompok anggota Angkatan Udara Uni Soviet yang ikut terlibat dalam konflik di Irian Barat.https://t.co/681Zur6JXM | 0 | 31 | 0;
wahyu2716_ | RT @historia_id: Kisah sekelompok anggota Angkatan Udara Uni Soviet yang ikut terlibat dalam konflik di Irian Barat.https://t.co/681Zur6JXM | 0 | 31 | 0;
MangPulsa | RT @historia_id: Kisah sekelompok anggota Angkatan Udara Uni Soviet yang ikut terlibat dalam konflik di Irian Barat.https://t.co/681Zur6JXM | 0 | 31 | 0;
historia_id | Kisah sekelompok anggota Angkatan Udara Uni Soviet yang ikut terlibat dalam konflik di Irian Barat.https://t.co/681Zur6JXM | 0 | 31 | 83;
FatehaCik | RT @Marchfoward: TERKINI    Kementerian Pertahanan Rusia memaklumkan sebanyak 1,612 sasaran dimusnahkan Tentera Rusia sepanjang seminggu mene… | 0 | 25 | 0;
AnakCikAmat | RT @Marchfoward: TERKINI    Kementerian Pertahanan Rusia memaklumkan sebanyak 1,612 sasaran dimusnahkan Tentera Rusia sepanjang seminggu mene… | 0 | 25 | 0;
awhsar | RT @SoftWarNews: Kondisi di bandara militer di Ivano-François setelah dihantam rudal Rusia.     Beberapa pesawat tempur MiG-29 milik Angkatan… | 0 | 4 | 0;
Konfrontasi_co | Swedia Tuding 4 Pesawat Tempur Rusia Terobos Wilayahnya https://t.co/Di3qTqq8n7 | 0 | 0 | 0;
AdeIndonesia | RT @KlaanW: Rekaman suara pilot pesawat tempur Rusia dengan pusat komando dibelarusia saat akan membombardir ibukota Ukraina kiev https://t… | 0 | 1 | 0;
Genpi_Co | Pesawat tempur Sukhoi milik Rusia manuver di atas Laut Baltik, Swedia langsung ngamuk. #PesawatSukhoi https://t.co/lEQUvTbEe3 | 0 | 0 | 0;
T_IndonesiaPost | Jerman dikabarkan mempertimbangkan untuk memasok Ukraina dengan 2.700 rudal anti pesawat tempur ke Ukraina, supaya… https://t.co/tKKhmk44fu | 0 | 0 | 0;
sileboey | Pesawat tempur by IWAN FALS - https://t.co/GF8VbRNgg0 | 0 | 0 | 0;
KlaanW | Pesawat jet tempur meraung Raung di langit Kharkiv, penduduk di himbau untuk berlindung,akan ada serangan udara | 0 | 0 | 1;
alfrhns | RT @Marchfoward: TERKINI    Kementerian Pertahanan Rusia memaklumkan sebanyak 1,612 sasaran dimusnahkan Tentera Rusia sepanjang seminggu mene… | 0 | 25 | 0;
storyofshun | RT @Marchfoward: TERKINI    Kementerian Pertahanan Rusia memaklumkan sebanyak 1,612 sasaran dimusnahkan Tentera Rusia sepanjang seminggu mene… | 0 | 25 | 0;
nandaandryana | Dan yah baru akhir” ini saya lihat rusia mulai melancarkan serangan dengan superpowernya. Ini menunjukan jika rusia… https://t.co/Sv8GeugZcb | 0 | 0 | 1;
Imam_Nug | @ryanalfandra09 @notarianus @alfaroweo @Jatosint emm, terlalu underestimate ukraina ya? mestinya mereka tau kalo se… https://t.co/smQ9Npw304 | 0 | 0 | 0;
beritasampit_id | #BeritaSampit  Pesawat Tempur Rusia Langgar Wilayah Udara Swedia Picu Kecaman https://t.co/shbgtSVOf6 STOCKHOLM - Em… https://t.co/cUz6jj5Qu4 | 0 | 0 | 0;
fatimahhani93 | RT @Marchfoward: TERKINI    Kementerian Pertahanan Rusia memaklumkan sebanyak 1,612 sasaran dimusnahkan Tentera Rusia sepanjang seminggu mene… | 0 | 25 | 0;
mtaufikmJKT48 | RT @Marchfoward: TERKINI    Kementerian Pertahanan Rusia memaklumkan sebanyak 1,612 sasaran dimusnahkan Tentera Rusia sepanjang seminggu mene… | 0 | 25 | 0;
budiMT | @Yahoo_ID Ohh ternyata pesawat tempur UKA masih bisa terbang ... | 0 | 0 | 0;
dhiyaulaqifff | RT @Marchfoward: TERKINI    Kementerian Pertahanan Rusia memaklumkan sebanyak 1,612 sasaran dimusnahkan Tentera Rusia sepanjang seminggu mene… | 0 | 25 | 0;
AM17466 | RT @Marchfoward: TERKINI    Kementerian Pertahanan Rusia memaklumkan sebanyak 1,612 sasaran dimusnahkan Tentera Rusia sepanjang seminggu mene… | 0 | 25 | 0;
AqilahZaharudin | RT @Marchfoward: TERKINI    Kementerian Pertahanan Rusia memaklumkan sebanyak 1,612 sasaran dimusnahkan Tentera Rusia sepanjang seminggu mene… | 0 | 25 | 0;
Lacoste52671177 | RT @Marchfoward: TERKINI    Kementerian Pertahanan Rusia memaklumkan sebanyak 1,612 sasaran dimusnahkan Tentera Rusia sepanjang seminggu mene… | 0 | 25 | 0;
sinarkeadilan1 | 49 pesawat hancur di darat dan 13 lainnya di udara. Sebanyak 606 tank dan kendaraan tempur lapis baja lainnya, 67 p… https://t.co/lHwOniFh0n | 0 | 0 | 0;
tribawonoaji | @Mentimoen Lalu lalang pesawat tempur di atas Ukraina mendadak sepi tuh... Apa maksud Putin? | 0 | 0 | 0;
haikalzlatan | RT @Marchfoward: TERKINI    Kementerian Pertahanan Rusia memaklumkan sebanyak 1,612 sasaran dimusnahkan Tentera Rusia sepanjang seminggu mene… | 0 | 25 | 0;
HaiqalD88245004 | RT @Marchfoward: TERKINI    Kementerian Pertahanan Rusia memaklumkan sebanyak 1,612 sasaran dimusnahkan Tentera Rusia sepanjang seminggu mene… | 0 | 25 | 0;
GengRetweet_99 | RT @Marchfoward: TERKINI    Kementerian Pertahanan Rusia memaklumkan sebanyak 1,612 sasaran dimusnahkan Tentera Rusia sepanjang seminggu mene… | 0 | 25 | 0;
kidsyahmii | RT @Marchfoward: TERKINI    Kementerian Pertahanan Rusia memaklumkan sebanyak 1,612 sasaran dimusnahkan Tentera Rusia sepanjang seminggu mene… | 0 | 25 | 0;
zikriihsan | RT @Marchfoward: TERKINI    Kementerian Pertahanan Rusia memaklumkan sebanyak 1,612 sasaran dimusnahkan Tentera Rusia sepanjang seminggu mene… | 0 | 25 | 0;
